201000001,SMITH,aaliyah,f,01/01/1957 00:00:00,0001,00012345,01/01/2014 00:00:00,12/31/2026 00:00:00,Y
201000002,JOHNSON,aapeli,m,01/02/1957 00:00:00,0002,00012345,01/01/2014 00:00:00,12/31/2026 00:00:00,Y
201000003,WILLIAMS,aapo,m,01/03/1957 00:00:00,0003,00012345,01/01/2014 00:00:00,12/31/2026 00:00:00,Y
201000004,JONES,aaren,m,01/04/1957 00:00:00,0004,00012345,01/01/2014 00:00:00,12/31/2026 00:00:00,Y
201000005,BROWN,aarne,m,01/05/1957 00:00:00,0005,00012345,01/01/2014 00:00:00,12/31/2026 00:00:00,Y
201000006,DAVIS,aarón,m,01/06/1957 00:00:00,0006,00012345,01/01/2014 00:00:00,12/31/2026 00:00:00,Y
201000007,MILLER,aaron,m,01/07/1957 00:00:00,0007,00012345,01/01/2014 00:00:00,12/31/2026 00:00:00,Y
201000016,MARTIN,abby,f,01/16/1957 00:00:00,0002,00012347,06/01/2013 00:00:00,12/31/2031 00:00:00,Y
201000017,THOMPSON,abd-al-aziz,m,01/17/1957 00:00:00,0003,00012347,06/01/2013 00:00:00,12/31/2031 00:00:00,Y
201000018,GARCIA,abd-allah,m,01/18/1957 00:00:00,0004,00012347,06/01/2013 00:00:00,12/31/2031 00:00:00,Y
201000019,MARTINEZ,abd-al-malik,m,01/19/1957 00:00:00,0005,00012347,06/01/2013 00:00:00,12/31/2031 00:00:00,Y
201000020,ROBINSON,abd-al-qadir,m,01/20/1957 00:00:00,0006,00012347,06/01/2013 00:00:00,12/31/2031 00:00:00,Y
201000029,HERNANDEZ,ábel,m,01/29/1957 00:00:00,0001,00012349,12/01/2012 00:00:00,12/31/2026 00:00:00,Y
201000030,KING,abel,m,01/30/1957 00:00:00,0002,00012349,12/01/2012 00:00:00,12/31/2026 00:00:00,Y
201000031,WRIGHT,abelone,f,01/31/1957 00:00:00,0003,00012349,12/01/2012 00:00:00,12/31/2026 00:00:00,Y
201000032,LOPEZ,abena,f,02/01/1957 00:00:00,0004,00012349,12/01/2012 00:00:00,12/31/2026 00:00:00,Y
201000034,SCOTT,abhay,m,02/03/1957 00:00:00,0006,00012349,12/01/2012 00:00:00,12/31/2026 00:00:00,Y
201000035,GREEN,abiah,m,02/04/1957 00:00:00,0007,00012349,12/01/2012 00:00:00,12/31/2026 00:00:00,Y
201000070,RAMIREZ,adalbert,m,03/11/1957 00:00:00,0001,00012345,01/01/2014 00:00:00,12/31/2026 00:00:00,Y
201000071,JAMES,adalberto,m,03/12/1957 00:00:00,0002,00012345,01/01/2014 00:00:00,12/31/2026 00:00:00,Y
201000072,WATSON,adalheid,f,03/13/1957 00:00:00,0003,00012345,01/01/2014 00:00:00,12/31/2026 00:00:00,Y
201000073,BROOKS,adalia,m,03/14/1957 00:00:00,0004,00012345,01/01/2014 00:00:00,12/31/2026 00:00:00,Y
201000074,KELLY,ádám,m,03/15/1957 00:00:00,0005,00012345,01/01/2014 00:00:00,12/31/2026 00:00:00,Y
201000075,SANDERS,adam,m,03/16/1957 00:00:00,0006,00012345,01/01/2014 00:00:00,12/31/2026 00:00:00,Y
201000076,PRICE,adamina,f,03/17/1957 00:00:00,0007,00012345,01/01/2014 00:00:00,12/31/2026 00:00:00,Y
201000085,POWELL,adela,f,03/26/1957 00:00:00,0002,00012347,06/01/2013 00:00:00,12/31/2031 00:00:00,Y
201000086,LONG,adélaïde,f,03/27/1957 00:00:00,0003,00012347,06/01/2013 00:00:00,12/31/2031 00:00:00,Y
201000087,PATTERSON,adelaide,f,03/28/1957 00:00:00,0004,00012347,06/01/2013 00:00:00,12/31/2031 00:00:00,Y
201000088,HUGHES,adèle,f,03/29/1957 00:00:00,0005,00012347,06/01/2013 00:00:00,12/31/2031 00:00:00,Y
201000089,FLORES,adelheid,f,03/30/1957 00:00:00,0006,00012347,06/01/2013 00:00:00,12/31/2031 00:00:00,Y
201000098,GRIFFIN,adhara,f,04/08/1957 00:00:00,0001,00012349,12/01/2012 00:00:00,12/31/2026 00:00:00,Y
201000099,DIAZ,adhiambo,f,04/09/1957 00:00:00,0002,00012349,12/01/2012 00:00:00,12/31/2026 00:00:00,Y
201000100,HAYES,adi,f,04/10/1957 00:00:00,0003,00012349,12/01/2012 00:00:00,12/31/2026 00:00:00,Y
201000101,MYERS,adil,m,04/11/1957 00:00:00,0004,00012349,12/01/2012 00:00:00,12/31/2026 00:00:00,Y
